Section,Pattern,Period,Jugglers,Objects,Passes,Link
,5p 2 2 2 2 2 2 2 2,9,3,7,1,http://prech.ac/3:5p22222222
,3 3 3 3 3 3p 2 2 2,9,3,8,1,http://prech.ac/3:333333p222
,5 2 2 5p 2 2 2 2 2,9,3,8,1,http://prech.ac/3:5225p22222
,4p 3p 3p 3p 0 0 0 2 0,9,3,5,4,http://prech.ac/3:4p3p3p3p00020
,3p 1p 2 0 2 2 2 3 3,9,3,6,2,http://prech.ac/3:3p1p2022233
,3p 1p 2 0 2 2 2 3 3,9,3,6,2,http://prech.ac/3:3p1p2022233
,3 3 3 3p 2 2,6,3,8,1,http://prech.ac/3:3333p22
,3 3 4p 2 1p 2 0 1 2,9,3,6,2,http://prech.ac/3:334p21p2012
,3 3 3p 2 2 2 2 2 2 3 3 3p 2 2 2,15,5,12,2,http://prech.ac/5:333p222222333p222
"Section: Period 6, French Section",,,,,,
,2 2p 2p 0 0 0,6,2,2,2,http://prech.ac/2:22p2p000
,2 2p 2p 1 1 4,6,2,4,2,http://prech.ac/2:22p2p114
,2 3p 1p 0 0 0,6,2,2,2,http://prech.ac/2:23p1p000
,2 3p 1p 1 1 4,6,2,4,2,http://prech.ac/2:23p1p114
,3p 1 2p 0 0 0,6,2,2,2,http://prech.ac/2:3p12p000
,3p 1 2p 1 1 4,6,2,4,2,http://prech.ac/2:3p12p114
,4p 1 1p 0 0 0,6,2,2,2,http://prech.ac/2:4p11p000
,4p 1 1p 1 1 4,6,2,4,2,http://prech.ac/2:4p11p114
"Section: MultiProp, French Section",,,,,,
,4 3p 3p 2,4,2,6,2,http://prech.ac/2:43p3p2
,4 4p 4p 2 2 2,6,2,6,2,http://prech.ac/2:44p4p222
,4 5p 3p 2 2 2,6,2,6,2,http://prech.ac/2:45p3p222
,4 4 4 2p,4,2,7,1,http://prech.ac/2:4442p
"Section: MaxiPop, French Section",,,,,,
,"(3p, 3p)",2,2,6,2,
,"<(3p, 3p) | (3pb, 3pb)>",4,2,6,4,
,"(4, 4) (3p, 3p) (2, 2)",6,2,6,2,
,"(4, 4) (3p, 3p) (2x, 2x)",6,2,6,2,
,"(4, 4) (3p, 3p) (2b, 2b)",6,2,6,2,
,5pb 3p 2 2,4,2,6,2,http://prech.ac/2:5pb3p22
,5pb 3p 3 1,4,2,6,2,http://prech.ac/2:5pb3p31
,5pb 3p 3b 1,4,2,6,2,http://prech.ac/2:5pb3p3b1
,4p 3,2,2,7,1,http://prech.ac/2:4p3
,4 3p,2,2,7,1,http://prech.ac/2:43p
,5pb 3 3 3,4,2,7,1,http://prech.ac/2:5pb333
,5pb 5b 3 1,4,2,7,1,http://prech.ac/2:5pb5b31
,5pb 5b 3b 1,4,2,7,1,http://prech.ac/2:5pb5b3b1
,4 4p 3 3,4,2,7,1,http://prech.ac/2:44p33
,5p 3 3 3,4,2,7,1,http://prech.ac/2:5p333
,5p 5 3 1,4,2,7,1,http://prech.ac/2:5p531
,"(6x, 4) (4, 6x) (6p, 4) (4, 4) (4, 4) (4, 4)",12,2,9,1,
"Section: 4 Jugglers, 14 to 24 Objects",,,,,,
,4.5p 3 3,3,4,14,1,http://prech.ac/4:4.5p33
,3.5p,1,4,14,1,http://prech.ac/4:3.5p
,5 3 4p 3 3 3,6,4,14,1,http://prech.ac/4:534p333
,4 4 4p 3 3 3,6,4,14,1,http://prech.ac/4:444p333
,5p 3 3 3,4,4,14,1,http://prech.ac/4:5p333
,4p 3,2,4,14,1,http://prech.ac/4:4p3
,5 3 4p 3,4,4,15,1,http://prech.ac/4:534p3
,5p 3,2,4,16,1,
,"(4p, 4p) (4, 4) (4, 4)",6,4,16,2,
,"(5p, 4x)",2,4,18,1,
,6p 3,2,4,18,1,http://prech.ac/4:6p3
,5p 5,2,4,20,1,
,"(6p, 4x)",2,4,20,1,
,6p 5,2,4,22,1,
,7p 5,2,4,24,1,
,"(7p, 4x)",2,4,22,1,
"Section: 2 Jugglers, 6 & 7 Objects",,,,,,
,3p 4p 2 3,4,2,6,2,http://prech.ac/2:3p4p23
,4 3p 3p 2,4,2,6,2,http://prech.ac/2:43p3p2
,3 3p 4p 2,4,2,6,2,http://prech.ac/2:33p4p2
,4p 5p 1 2,4,2,6,2,http://prech.ac/2:4p5p12
,4 2 3 2p 3 4p,6,2,6,2,http://prech.ac/2:4232p34p
,4 4p 3 3,4,2,7,1,http://prech.ac/2:44p33
,4p 4 5 1,4,2,7,1,http://prech.ac/2:4p451
,6 3 1 4p,4,2,7,1,http://prech.ac/2:6314p
,5 2 4p 3,4,2,7,1,http://prech.ac/2:524p3
,5 4p 2 3,4,2,7,1,http://prech.ac/2:54p23
,5p 5 3 1,4,2,7,1,http://prech.ac/2:5p531
,4 4 4p 3 3 3,6,2,7,1,http://prech.ac/2:444p333
,5p 3 3 3 3 4,6,2,7,1,http://prech.ac/2:5p33334
"Section: 2 Jugglers, 8 & 9 Objects",,,,,,
,"(4x, 4xp)",2,2,8,1,
,"(4x, 4xp)*",2,2,8,1,
,4p,1,2,8,1,
,4.5p 4.5p 3,3,2,8,2,http://prech.ac/2:4.5p4.5p3
,4p 5p 3 4,4,2,8,2,http://prech.ac/2:4p5p34
,5 4p 4p 3,4,2,8,2,http://prech.ac/2:54p4p3
,5 4.5p 4.5p 3 3,5,2,8,2,http://prech.ac/2:54.5p4.5p33
,"(4, 6x) (6x, 4) (4xp, 6p) (2, 4x) (4x, 2) (2, 4x)",12,2,8,2,
,"(6p, 4xp) (2, 4x)",4,2,8,2,
,6p 3,2,2,9,1,http://prech.ac/2:6p3
,5 5 4p 4,4,2,9,1,http://prech.ac/2:554p4
,5 5 5p 4 4 4,6,2,9,1,http://prech.ac/2:555p444
,5 5 5p 5 5 2,6,2,9,1,http://prech.ac/2:555p552
,5 5 5 5 4.5p 4 4 4 4,9,2,9,1,http://prech.ac/2:55554.5p4444
,5 5 4.5p 4 4,5,2,9,1,http://prech.ac/2:554.5p44
,5 4.5p 4,3,2,9,1,http://prech.ac/2:54.5p4
,"(4, 6x) (6x, 4) (4, 6x) (4x, 4px) (4, 4) (4, 4)",12,2,9,1,
"Section: MultiPop, French Section",,,,,,
,2 2 [3p 2p] 1 1 1,6,2,4,2,
,2 1 [4p 2p] 1 1 1,6,2,4,2,
,[3 3p] 1 2 1,4,2,5,1,
,[3 3p] 1 2 1p,4,2,5,2,
,[3 3p] 3p 2 1p,4,2,6,3,
,2 2 [3p 2p] 1 4p 1,6,2,5,3,
,3 [3 3p] 3 2,4,2,7,1,
,"([4x 4xp], 2x) (2x, 2x)",4,2,7,1,
,[3 3p] 5 2 1,4,2,7,1,
,"([4 4x], 2x) (4, 2) (2x, [4 2xp]) (2, 2x)",8,2,7,1,
,4 [4 3p] 1 2,4,2,7,1,
,"([4p 4xp], 4) (2, 2x)",4,2,8,2,
,5p [4 3] 4 2,4,2,9,1,
,[5p 4 3] 4 2 4 [2 2] 1,6,2,9,1,
,[5p 4p] [4 3] 2 2,4,2,10,2,
"Section: 2 Jugglers, Synchronous & Multiplex Patterns",,,,,,
,"(4, 0) (0, 0) (4, 2x) (2x, 4p) (4, 2x) (2p, 0)",12,,4,2,
,"(4p, 2x) (2x, 4) (2x, 0) (2x, 4)",8,,5,1,
,"(4x, 4xp) (4, 2x)",4,2,7,1,
,"(6p, 2x) (4x, 2x)",4,2,7,1,
,"(4, 4) (4p, 4x) (2x, 4x) (2x, 4x)",8,2,7,1,
,"<(3p, 4)* | (3xp, 4)*>",4,2,7,2,
,2 0 [2p 1] 1,4,2,3,1,
,[2 3p] 2 2 3 2 0 [2 2] 2,8,2,5,1,
,2 1p [4 3] 0,4,2,5,1,
,2 1 [3p 3] 1,4,2,5,1,
,[2p 2] 2 2 2,4,2,5,1,
,2 4 [2p 2] 0,4,2,5,1,
,2 1 [5p 3p] 1,4,2,6,2,
,2 1 [4p 3p] 2,4,2,6,2,
,2 3 [4p 3p] 2 2 2,6,2,6,2,
,2 3 [4p 3p] 4 1 1,6,2,6,2,
,[4p 3] 2p 2 1,4,2,6,2,
,[3 2] 3 1p 4 2 3p,6,2,6,2,
,2 3 [4p 3p] 5p 3 1,6,2,7,3,
,2 2 [4p 3] 3,4,2,7,1,
"Section: Multi Pass, French Section",,,,,,
,[3.5p 2.5p] 2 1,3,2,6,2,
,[3 2.5p] 2 3,3,2,7,1,
,[4 3.5p] 2 1,3,2,7,1,
,"([3p 3xp], 2)*",2,2,8,2,
,[4 3] 2 3p,3,2,8,1,
